"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 24 10:46:10 UTC 2023","Mon Jul 24 10:46:14 UTC 2023","3332","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Mon Jul 24 10:32:19 UTC 2023","Mon Jul 24 10:32:40 UTC 2023","20572","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Mon Jul 24 11:02:50 UTC 2023","Mon Jul 24 11:03:12 UTC 2023","21605","","9. Client Portal - Home","","","","1. Check links",""
"passed","Mon Jul 24 10:42:44 UTC 2023","Mon Jul 24 10:42:45 UTC 2023","1088","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Mon Jul 24 11:53:44 UTC 2023","Mon Jul 24 11:53:48 UTC 2023","4115","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Mon Jul 24 12:01:38 UTC 2023","Mon Jul 24 12:01:40 UTC 2023","2007","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Mon Jul 24 10:42:12 UTC 2023","Mon Jul 24 10:42:39 UTC 2023","27472","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Mon Jul 24 11:53:33 UTC 2023","Mon Jul 24 11:53:34 UTC 2023","576","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Mon Jul 24 12:23:04 UTC 2023","Mon Jul 24 12:23:16 UTC 2023","12019","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Mon Jul 24 12:23:00 UTC 2023","Mon Jul 24 12:23:02 UTC 2023","2750","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Mon Jul 24 10:38:57 UTC 2023","Mon Jul 24 10:39:34 UTC 2023","36725","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Mon Jul 24 11:09:21 UTC 2023","Mon Jul 24 11:09:32 UTC 2023","11166","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Mon Jul 24 10:33:21 UTC 2023","Mon Jul 24 10:33:28 UTC 2023","7401","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Mon Jul 24 11:15:57 UTC 2023","Mon Jul 24 11:15:59 UTC 2023","2033","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Mon Jul 24 10:46:38 UTC 2023","Mon Jul 24 10:46:45 UTC 2023","6671","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Mon Jul 24 11:53:08 UTC 2023","Mon Jul 24 11:53:27 UTC 2023","18927","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Mon Jul 24 11:42:10 UTC 2023","Mon Jul 24 11:46:58 UTC 2023","288871","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Mon Jul 24 10:48:16 UTC 2023","Mon Jul 24 10:49:21 UTC 2023","64803","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Mon Jul 24 12:23:17 UTC 2023","Mon Jul 24 12:23:54 UTC 2023","36973","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Mon Jul 24 10:57:18 UTC 2023","Mon Jul 24 10:57:21 UTC 2023","3215","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Mon Jul 24 11:09:21 UTC 2023","Mon Jul 24 11:09:21 UTC 2023","508","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Mon Jul 24 11:21:58 UTC 2023","Mon Jul 24 11:22:23 UTC 2023","25692","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Mon Jul 24 11:28:40 UTC 2023","Mon Jul 24 11:28:55 UTC 2023","15980","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Mon Jul 24 11:53:28 UTC 2023","Mon Jul 24 11:53:33 UTC 2023","5598","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Mon Jul 24 11:09:04 UTC 2023","Mon Jul 24 11:09:20 UTC 2023","16524","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Mon Jul 24 11:58:58 UTC 2023","Mon Jul 24 11:59:01 UTC 2023","3392","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Mon Jul 24 11:10:03 UTC 2023","Mon Jul 24 11:10:14 UTC 2023","11204","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Mon Jul 24 11:15:59 UTC 2023","Mon Jul 24 11:16:04 UTC 2023","5434","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Mon Jul 24 11:59:34 UTC 2023","Mon Jul 24 11:59:40 UTC 2023","5372","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Mon Jul 24 11:55:55 UTC 2023","Mon Jul 24 11:56:10 UTC 2023","14103","","21. Forgot password function","","","","1. Direct to forgot password page",""
